Basque (eu),Spanish (es)
Daturik esanguratsuenetako bat ikasleen langabeziari buruzkoa da: ingeniaritzaren bat egin zuten belaunaldi horretako ikasleen % 3 bakarrik ari da lan bila.,Uno de los datos más relevantes hace referencia al nivel de paro de los y las estudiantes. Solo el 3% de quienes estudiaron en esta promoción alguna ingeniería está buscando trabajo.
"Tokia: ""Eibarko Ingeniaritza Industria Teknikoko Unibertsitate Eskola"" (azterketa gela, 6. pisua).","Lugar: ""Escuela Universitaria de Ingeniería Técnica Industrial de Eibar"" (aula para exámenes, 6º piso)."
Hemen zaude: Hasiera › Ikasleak › Ingeniaritza Duala › Erreklamazio eta iradokizunak,Usted está aquí: Inicio › Alumnos › Ingenieria Dual › Reclamaciones y sugerencias Info Ingenieria Dual
"Bietan, espezialitate hauetan trebatuak behar dira: Itsas Zientziak, Biologia, Ingeniaritza, Ekonomia, Elikagaien Zientzia eta Teknologia, Kimika, Biokimika eta Farmazia.","Ambos perfiles precisan formación en especialidades como Ciencias del Mar, Biología, Ingeniería, Economía, Ciencia y Tecnología de los Alimentos, Química, estamos trabajando con las siguientes convocatorias:"
Industria Elektronikako Ingeniaritza Gradua,Grado en Ingeniería en Electrónica Industrial
"Diplomaturetan %22 matrikulatu ziren, arkitektura eta ingeniaritza teknikoetan %19 eta arkitektura eta ingeniaritzetan %15. Emakumeen presentzia nabarmena izan zen lizentziaturetan (%65) eta diplomaturetan (%71) eta gizonezkoena, berriz, arkitektura eta ingeniaritza ikasketetan (%66) eta arkitektura eta ingeniaritza teknikoetan (%73).","En cuanto al tipo de estudios, 29.251 estudiantes se inclinaron por matricularse en las mujeres es mayoritaria en los estudios de licenciatura (65%) y diplomatura (71%), en tanto que en los estudios de arquitectura e ingeniería y arquitectura e ingeniería técnica la presencia de los varones es de un 66% y un 73%, respectivamente."
Kimika Industrialeko Industria Ingeniaritza Teknikoa,Ingeniería Técnica Industrial en Química Industrial
"Zementu armatuzko eraikin osoak, 1.000 tona baino gehiagokoa, ingeniaritza, arkitektura eta eskultura uztartzen ditu, eta bere lorpenen artean, bere lanetan istripuz inor hil ez izana du, garai hartan eta halako tamainako egitasmoekin batere ohikoa ez zena.","La construcción de hormigón armado, de más de 1000 toneladas, combina ingeniería, arquitectura y escultura; y tiene entre sus logros el hecho de que nadie muriera en accidente durante las obras, algo que no era normal en la época y menos con proyectos de esa dimensión."
"Sisteplant-ek,ingeniaritza industrialeko zerbitzuak eskaintzen dituen enpresak, bere jarduera eta zerbitzuak aurkeztuko dizkie produkzio prozesuetan nanomaterialak erabiltzen dituzten enpresei eta, azkenik, denetan berrienak, Nanoinmag izenekoak, hemendik gutxira ekoitziko dituen nanopartikula inorganiko, polimeriko eta magnetikoak aurkeztuko ditu, zeintzuk hainbat sektore industrialetan erabili ahal izango baitira, hala nola automozioan, energian, makina-erremintan, eraikuntzan, e.a.","Sisteplant, empresa de servicios de ingeniería industrialpresentará su actividad y servicios para empresas que incorporen nanomateriales en sus procesos productivos y por último, la más reciente de todas ellas, Nanoinmagpresentará su futura producción de nanopartículas inorgánicas, poliméricas y magnéticas de uso en diferentes sectores industriales como automoción, energía, máquina herramienta, construcción, etc."
"I+G+b alorrean garatzen duen jarduera enpresei soluzio teknologiko bereziak eskaintzera bideratuta dago, lehiakorragoak izan daitezen, eta jarduera hori 7 ikerketa lerrotan banatzen da: Berrikuntza Estrategikoa, Mekanizazioa eta Produkzio Sistemak, Dinamika eta Kontrola, Software Adimenduna, Fabrikazio Prozesuak, Ikuskapena eta Neurketa, eta Doitasunezko Ingeniaritza.","Su actividad de I+D+i, orientada a ofrecer a las empresas soluciones tecnológicas diferenciadoras que les permitan mejorar su competitividad, se agrupa en torno a 7 líneas de investigación: Innovación Estratégica, Mecanizado y sistemas de Producción, Dinámica y Control, Software Inteligente, Procesos de Fabricación, Inspección y Medida, así como Diseño e ingeniería de precisión."
Seinalearen Ingeniaritza,Ingeniería de Señal
"- Masterrrean edo graduondokoan matrikulatuta egotea: Matematikak, Informatika, Estatistika, Fisika, Finantzak, Telekomunikazioak, Teknologia digitala, ingeniaritza.","Becas 'Talento Mujer - postgrado: Matemáticas, Informática, Estadística, Física, Finanzas, Telecomunicaciones, Tecnología digital, ingeniería."
"PRODUKTUAK/ZERBITZUAK: Labe industrialen fabrikazioa eta ingeniaritza, mantentze lanetarako zerbitzu integrala",PRODUCTOS/SERVICIOS: Ingeniería y fabricación de hornos industriales y servicio integral de mantenimiento
"• Software ingeniaritza ingeniaritzan printzipio eta metodoen ezarpenean datza, errentagarria eta fidagarri den, eta makina errealetan lan egin dezaken software bat lortzeko helburuarekin sortua (Bauer, 1972).","Ingeniería de software trata del establecimiento de los principios y métodos de la ingeniería a fin de obtener máquinas reales (Bauer, 1972)."
"Nanozientziaren eta nanoteknologiaren arloko ikerketak egiteko, arkitektura- eta ingeniaritza-kondizio oso sofistikatuak behar dira, ohiko eraikinetan egitea ezinezkoa den esperimentuak egin behar izaten baitira.",La investigación en nanociencia y nanotecnología demanda unas condiciones arquitectónicas y de ingeniería muy sofisticadas que permitan afrontar experimentos imposibles en una construcción al uso.
"Lan-fase horiek garatzeko, produktuaren ingeniaritzan 350.000 ordu baino gehiago sartu beharko direnez, Iñaki López Gandáseguiren presidentetzapeko konpainiak ehun ingeniari baino gehiago kontratatuko ditu proiekturako, Arabako Miñanoko eta Bizkaiko Zamudioko parke teknologikoetan dituen zentroetan.","El desarrollo de estas fases de trabajo necesitará más de 350.000 horas de ingeniería de producto, con lo que la compañía que preside Iñaki López Gandásegui contratará, durante el proyecto, a más de cien ingenieros en los centros que tiene en los parques tecnológicos de Miñano, en Álava, y de Zamudio, en Bizkaia."
Informatikako ingeniaritza graduaren eraginkortasun-tasa,Tasa de eficiencia en Grado en Ingeniería en Informática
"Enpresa- eta ikerketa-sektorearentzat ez ezik, ikasleentzat eta publiko orokorrarentzat ere antolatu dira jardunaldiak, eta helburua da ingeniaritzak eta teknologiak gizartean eta bereziki ekoizpen-sektoreetan duten garrantzia ezagutaraztea, batez ere sektore produktiboetan, eta nabarmentzea zer balio duen berrikuntzak enpresak lehiakorrak izateko.","Estas jornadas, dirigidas tanto al sector empresarial e investigador como a los estudiantes y a la sociedad en general, permitieron —de acuerdo con los objetivos de los organizadores— dar a conocer la importancia de la ingeniería y la tecnología en la sociedad, especialmente en los sectores productivos, haciendo hincapié en el valor de la innovación como instrumento para la competitividad de las empresas."
Industri Ingeniaritza Teknikoa edo Goi mailakoa.?,Ingeniería Técnica Industrial ó Superior.?
"Duela 10 urte Bizintek sortu zuten, produktuaren garapenerako ingeniaritza bat- Egun 13 langile ditu eta 600.000 € fakturatzen ditu.","Hace 10 años fundaron Bizintek, una ingeniería de desarrollo de producto que hoy da empleo a 13 personas y factura 600.000 €."
Ingeniaritza Elektronikoa - Zientzia eta Teknologia Fakultatea - UPV/EHU,Ingeniería Electrónica - Facultad de Ciencia y Tecnología - UPV/EHU
"Ingeniaritzaren kasuan, arazoek energiarekin, osasunarekin, lehengaiekin, iraunkortasunarekin eta abarrekin dute zerikusia.","Problemas que en el caso de la ingeniería tienen que ver con la energía, la salud, la materia prima, la sostenibilidad, etcétera."
Gipuzkoako Ingeniaritza Eskola,Escuela de Ingeniería de Bilbao
2016ko ekainean defendatutako tesiak: Ingeniaritza eta Teknologia,Tesis defendidas en junio de 2016: Ciencias Sociales y Jurídicas
"Izaskun Landaida, Emakundeko zuzendaria Deustuko Unibertsitateko Ingeniaritza Fakultateak antolatutako Ada Byron sariaren bosgarren edizioaren aurkezpenean izan zen…","La directora de Emakunde, Izaskun Landaida, participó ayer en la presentación en la Facultad de Ingeniería de…"
"Ikerketarako talde propioa duen ingeniaritza departamentua du, eta horrez gain ekoizpen-lantegi pare bat teknologia aurreratuenarekin, horiei esker konponbideak diseinatu eta garatzeko eta funtzionamenduan jartzeko zerbitzu integrala eskaini dezake hiriko hondakin-uren tratamendurako.","Su departamento de ingeniería con un equipo de investigación propio, y las dos plantas productivas con la tecnología más avanzada permiten ofrecer un servicio integral de diseño, desarrollo y puesta en funcionamiento de soluciones para el tratamiento de aguas residuales urbanas."
"Lehendakariak gizarteari Prestakuntzarako 4Gune Klusterrak lortutako emaitza nagusiak aurkeztea. Ondorengoak dira: (1) Zientzia, Teknologia eta Ingeniaritzako unibertsitate-zentroen ikerketa-gaitasunen mapa sortzea; (2) Cocreation Hubs lankidetza-espazioen garapena; (3) 4gune.eus weba sortzea; (4) enpresa + unibertsitateko lehen AIC gela martxan jartzea.","Presentación a la sociedad por parte del Lehendakari de los principales resultados obtenidos por el Clúster 4Gune de Formación, que son los siguientes: (1) Creación del Mapa de Capacidades investigadoras de los centros Universitarios de Ciencia, Tecnología e Ingeniería; (2) Desarrollo de espacios de colaboración Cocreation Hubs; (3) universidades del Sistema Universitario Vasco con las administraciones públicas, las empresas y otros agentes económicos y sociales en Euskadi en la formación y en la transferencia del conocimiento"
"Erakundearen ikerketa-lerroak lau talde handitan antolatu dira: Dinamika eta Kontrola, Diseinua eta Doitasun Ingeniaritza, Fabrikazio Prozesuak eta Informazio eta Komunikazio Teknologiak eta Automatizazioa.","Las líneas de investigación de la entidad han pasado a conformar cuatro grandes grupos: Dinámica y Control, Diseño e Ingeniería de Precisión, Procesos de Fabricación y Tecnologías de la Información, la Comunicación y Automatización."
Bizkaiko ingeniaritza-enpresak bi automatizazio-proiektu gauzatuko ditu 2017an uraren sektorean,La ingeniería vizcaína llevará a cabo en 2017 dos proyectos de automatización en el sector del agua
Lehenengo master duala Automozioko Ingeniaritzan estatu mailan.,Primer máster dual en Ingeniería en Automoción a nivel estatal.
Informatikako Ingeniaritza + Enpresaren Eraldaketa Digitala,"Filosofía, Política y Digital de la Empresa"
"Barrenetxea Apraiz, Lander; Gorozika Bidaurratzaga, Jokin; Arias Coterillo, Agustín: Ingeniaritzako grafikoetan sakontzea- Ariketa praktikoak 2020-21","Libro de Barrenetxea Apraiz, Lander; Gorozika Bidaurratzaga, Jokin; Arias Coterillo, Agustín: Ampliación de gráficos de ingeniería- Ejercicios prácticos 2020-21"
"Aplikazioa: Petrokimika, Petrolioa eta Gasa, Energia Sorkuntza, Nuklearra, Energia Eolikoa, Ozeano Ingeniaritza, Ingeniaritza Astuna, Metroaren Ingeniaritza, Ingurumen Ingeniaritza","Aplicación: Petroquímica, Petróleo y Gas, Generación de Energía, Nuclear, Energía Eólica, Ingeniería Oceánica, Ingeniería Pesada, Ingeniería de Metro, Ingeniería Ambiental"
"Beranduago, indar handia lortu zuen ingeniaritzak giza gorputzaren irudiak lortzeko tresnen diseinuan eta garapenean (imagenologia medikoa).","Posteriormente, una parte muy importante de las aplicaciones de la ingeniería a la medicina fue la instrumentación para la adquisición de imágenes del cuerpo humano (imagenología médica)."
"Espainiako unibertsitate sistemako ikasle guztien % 54,3 emakumeak badira ere, titulazio teknikoetan, Ingeniaritzan eta Arkitekturan duten presentzia, esaterako, % 26,4ra jaisten da.","A pesar de que el 54,3% del total de estudiantes del sistema universitario español son mujeres, su presencia en las titulaciones técnicas como Ingeniería y Arquitectura decae al 26,4%."
"Tecnun TEC programaren asmoa da ingeniaritzako profesionalak egungo merkatuari aplikatutako teknikaren, berrikuntzaren eta ezagutzaren abangoardian jartzea, eta pertsonaren eta enpresaren garapenean zuzenean eragitea.","El programa Tecnun TEC pretende situar al profesional de la ingeniería en la vanguardia de la técnica, la innovación y el conocimiento aplicado en el mercado actual, influyendo directamente en el desarrollo de la persona y de la empresa."
"Galdaragintzak/txapisteriak, ingeniaritza, aireztapen tutueriak eta metalarekin lan egiten duten enpresak.","Caldererías/Chapisterías, ingenierías, ventilación tuberías y empresas de trabajo en metal."
"Egoera horren aurrean, EUSKOPEF proiektuak, bere kideak izanik AZTI zentro teknologikoa, INGENET ingeniaritza, EROSKI banaketa enpresa eta garagardoa ekoizten duen BOGA enpresa, ahaleginak batu nahi ditu, hain zuzen ere, produktuaren ingurumen aztarna kalkulatu eta egiazki jakinarazteko sistema bat diseinatzeko, Euskal Autonomia Erkidegoko nekazaritzako elikagaien sektorean.","Ante esta situación, el proyecto EUSKOPEF, en el que participan el centro tecnológico AZTI, la ingeniería INGENET, la empresa de distribución EROSKI y la empresa productora de cerveza BOGA busca precisamente unir esfuerzos para diseñar un sistema de cálculo y comunicación efectiva de la huella ambiental de producto en el sector agroalimentario del País Vasco."
Ingurumen Ingeniaritzako Gradua (Bizkaia) (Bilboko Ingeniaritza Eskola),Grado en Ingeniería en Tecnología Industrial (Bizkaia) (Escuela de Ingeniería de Bilbao)
"BEREZKO INGENIARITZA, automatizazio prozezuen metodoak ikertu, diseinatu eta garatzen duten berezko ingeniaritza daukagu, gure instalazioak garatuz bezeroei kalitate eta prezio aukera onenak eskaintzeko.","INGENIERÍA PROPIA, disponemos de ingeniería propia que investiga, diseña y desarrolla métodos de automatización de procesos realizando nuestras propias instalaciones para ofrecer a nuestros clientes las mejores opciones en calidad y precio."
BIOINGENIARITZA: degradatutako edo kaltetutako lursailak berreskuratzeko erabiltzen da eta bioingeniaritza bidez magalak egonkortzeko.,BIOINGENIERIA: se emplea para recuperar terrenos degradados e incluso estabilizar laderas por medio de la bioingeniería.
Informatikaren Ingeniaritzako Gradua (Gipuzkoa) (Informatika Fakultatea),Grado en Ingeniería Eléctrica (Gipuzkoa) (Escuela Universitaria Politécnica de Donostia-San Sebastián)
Landareak / Fabrikazio Ingeniaritza,Plantas / Ingeniería de Fabricación
Goi-mailako zikloa (muntaia edo fabrikazioa) edo ingeniaritza tituludunentzat zuzendua dago:,Y está dirigido a personas con titulación de ciclo superior (fabricación o montaje) o ingeniería:
"Ingeniaritza zibilak dikearen haustura aukera gutxienekora murrizteko ardura du, muturreko egoeratan duen portaeraren azterketa sakonen bidez edota presaren egonkortasuna kalkulatuz, lurrikarak, uholdeak eta bestelako hondamendiak kontuan hartuta.","La ingeniería civil se encarga de reducir al mínimo la posibilidad de la rotura del dique mediante un análisis exhaustivo del comportamiento de la obra ante situaciones extremas, calculando la estabilidad de la presa tomando en consideración sismos, lluvias torrenciales y otras catástrofes."
