Basque (eu),Spanish (es),Spanish_Translation
"Informatika Ingeniaritzan lizentziatua da (EHU, 2007), Hizkuntzaren Azterketa eta Prozesamendua masterra du (EHU, 2012) eta Informatika Ingeniaritzan doktorea da (EHU, 2019).","En la actualidad es Máster en Análisis y Procesamiento del Lenguaje (UPV/EHU, 2012) y es doctor en Ingeniería Informática (UPV/EHU, 2019).","Licenciada en Ingeniería Informática (UPV, 2007), máster en Análisis y Procesamiento de la Lengua (UPV, 2012) y doctora en Ingeniería Informática (UPV, 2019)."
Irizar eta Tecnunek hitzarmena sinatu dute ingeniaritzako ikasleen formazioan lankidetzan aritzeko,Irizar y Tecnun firman un convenio para colaborar en la formación de los estudiantes de ingeniería,Irizar y Tecnun firman un convenio para colaborar en la formación del alumnado de ingeniería
"“Princeton Review” argitalpenaren arabera bideojokoak diseinatzeko Estatu Batuetako eskolarik onenetarikoa da DigiPen, eta Bilbon graduko programa bi eskaintzen ditu: Denbora Errealeko Simulazio Elkarreragile Informatika Ingeniaritza gradua eta Arte Digital eta Animazioko Arte Ederren Gradua.","DigiPen Bilbao es la sede las mejores escuelas de América del Norte para el diseño de videojuegos, según la publicación “Princeton Review”. DigiPen Bilbao ofrece dos programas de grado: Grado de Ingeniería Informática de Simulación Interactiva en Tiempo-Real, y Grado de Bellas Artes en Arte Digital y Animación.","DigiP es una de las mejores escuelas estadounidenses para el diseño de videojuegos según la publicación ?Princeton Review19, y ofrece dos programas de grado en Bilbao: Grado en Ingeniería Informática de Simulación Interactiva en Tiempo Real y Grado en Arte Digital y Bellas Artes de Animación."
AZKEN BERRIAK Ingeniaritza Zibileko ikasleek Amezagan gure lanari bisita egin diote,Visita de los alumnos de Ingeniería Civil a nuestra obra en Amézola,ÚLTIMAS NOTICIAS Alumnos de Ingeniería Civil visitan Amezaga nuestro trabajo
"Alabaina, bategite horrek ez die eragiten aurretiaz ingeniaritza teknikoko titulua zutenei (horietako gehienak gaur egun lanean ari dira), ingeniari tekniko izaten jarraitzen baitute, baina ez dira graduatuak.","Pero esta equiparación no afecta a los titulados anteriores en ingeniería técnica, la mayoría profesionales en activo hoy, que siguen siendo ingenieros técnicos y no graduados.","Sin embargo, esta unión no afecta previamente a los titulados de ingeniería técnica (la mayoría de ellos actualmente están trabajando), ya que siguen siendo ingenieros técnicos, pero no graduados."
"Pantaila honek trenen, tranbien, metroaren, autoen eta abarren zarata arintzeko irtenbideak eman ditzake, eta, gainera, nekazaritzako azpiproduktu bati, oliba-hezurrei, erabilera bat eta balioa emateko aukera ematen du”, adierazi du EHUko ikertzaile Julia Realek, Unibertsitatearen prentsa-oharrean . Espainiako Ingeniaritza Institutuak ere eman du horren berri .","Esta pantalla es capaz de dar solución para atenuar el ruido de los trenes, tranvías, metro, coches, etc. y además permite dar una nueva salida y poner en valor un subproducto agrícola como son los huesos de aceituna”, apunta Julia Real, investigadora de la UPV, en la nota de prensa de la Universidad, de la que se hace eco el Instituto de la Ingeniería de España .","Esta pantalla puede dar soluciones para paliar el ruido de trenes, tranvías, metros, coches, etc., y además, ofrece la posibilidad de proporcionar a un subproducto agrícola, huesos de oliva, un uso y valor de los mismos, según ha explicado la investigadora de la UPV, Julia Real, en la nota de prensa de la Universidad . También lo ha informado el Instituto de Ingeniería de España."
"Goi Mailako Heziketa-Zikloa bukatzerakoan, ikasleak unibertsitateko ikasketa egiten jarraitzeko aukera du, IMHko Ingeniaritza Dualean ikasten jarraitzeko ere.","Al finalizar un ciclo formativo de grado superior, el alumnado puede continuar formándose en cualquier estudio superior universitario, también en la Ingeniería Dual del IMH.","Al finalizar el Ciclo Formativo de Grado Superior, el alumno tiene la posibilidad de seguir estudiando en la universidad y seguir estudiando en la Ingeniería Dual del IMH."
Ingeniaritza Mekanikoa Ingeniaritza Mekanikoa eta Fabrikazio Prozesuak,Ingeniería Mecánica y Procesos de Fabricación,Ingeniería Mecánica y Procesos de Fabricación
"Ingeniaritza-azterlanek ingeniarien elkargoko ziurtagiria edo frogagiria aurkeztu beharko dute, dena delako estudioak bizitegi-eraikingintzako lanak egin dituela egiaztatzen duena.",Los estudios de ingeniería deberán presentar certificado o justificante del colegio de ingenieros donde se certifique o justifique que dicho estudio ha realizado trabajos en relación a la construcción residencial.,"Los estudios de ingeniería deberán presentar un certificado de colaboración o justificante de los ingenieros, sea cual sea el estudio que acredite la realización de las obras de construcción residencial."
"STEM Planeta / Iruñeko Planetarioa Iruñeko Planetarioaren eta Nafarroako Gobernuko Garapen Ekonomikorako eta Hezkuntzako Departamentuen proiektu honen helburua STEM (ingeleseko sigletatik zientzia, teknologia, ingeniaritza eta matematika) zer den ezagutaraztea da, arlo horietan orokorrean ikasleen artean bokazioak sustatzeko, eta bereziki, nesken grina pizteko.","Planeta STEM / Planetario de los Departamentos de Desarrollo Económico y de Educación del Gobierno de Navarra para dar a conocer qué es STEM (del inglés, ciencia, tecnología, ingeniería y matemáticas) y a su vez fomentar el interés de la población escolar en esas áreas, con especial foco en el público femenino.","Este proyecto de los Departamentos de Desarrollo Económico y Educación del Planetario de Pamplona / Planetario de Pamplona, y del Gobierno de Navarra, tiene como objetivo dar a conocer qué es el STEM (ciencia, tecnología, ingeniería y matemáticas desde los sigles ingleses) para fomentar las vocaciones entre los alumnos en estas áreas en general, y sobre todo, para despertar la pasión de las chicas."
"Hizlariak: Javier León (Bide, Ubide eta Partu ingeniaritzan doktore. Madrilgo Unibertsitate Politeknikoko irakasle titularra.Fhecor), Iñaki Jaime (Bide, Ubide eta Portu ingenieroa. lnjelan S.L.)","Conferenciantes: Javier León (Dr.Ingeniero de Caminos,Canales y Puertos.Profesor Titular de LaUniversidad Politécnica de Madrid.Fhecar), Iñaki Jaime (Ingeniero de Caminos, Canales y Puertos. lnjelan S.L.)","Ponentes: Javier León (Doctor en Ingeniería Bidebide, Ubide y Partu, Profesor Titular de la Universidad Politécnica de Madrid.Fhecor), Iñaki Jaime (Ingeniero Bide, Ubide y Puerto. Lnjelan S.L.)"
EAZ + Industria Teknologien Ingeniaritza,ADE + Ingeniería en Tenologías Industriales,CAU + Ingeniería de Tecnologías Industriales
Ingeniaritza zerbitzua behar duten proiektuak ERREFORMAK,Proyectos con servicio de ingeniería REFORMAS,Proyectos que requieran servicio de ingeniería REFORMAS
"Egun, sei fakultatek osatzen dute unibertsitatea: Ekonomia eta Enpresa Zientziak, Gizarte eta Giza Zientziak, Zuzenbidea, Ingeniaritza, Psikologia eta Hezkuntza, eta Teologia.","Actualmente la componen seis facultades: Ciencias Económicas y Empresariales, Ciencias Sociales y Humanas, Derecho, Ingeniería, Psicología y Educación, y Teología.","En la actualidad la universidad está formada por seis facultades: Ciencias Económicas y Empresariales, Ciencias Sociales y Humanas, Derecho, Ingeniería, Psicología y Educación y Teología."
INGENIARITZA ELEKTRONIKOKO 30. URTEURRENA - Berriak - Gurutzetako Unibertsitate Ospitalea,30 ANIVERSARIO DE INGENIERÍA ELECTRÓNICA - Noticias - Hospital Universitario Cruces,30 AÑOS DE INGENIERÍA ELECTRÓNICA - Noticias - Hospital Universitario de Cruces
Bezeroarentzako arreta: Ingeniaritza eta zerbitzua:,Atención al cliente: Ingenieria y Servicio:,Atención al cliente: Ingeniería y servicio:
Ingeniaritza eta Galdaragitza Plastikoa,Ingeniería y Calderería plástica,Ingeniería y Calderería Plástica
"Aurreikuspenen arabera, datozen otsailaren 23an eta 24an Bilboko Euskalduna Jauregian egingo den kongresu horretan, ingeniaritza, eraikuntza eta ekipamendu enpresetako zuzendaritza taldeetako 200 kide inguruk hartuko du parte, baita konpainia operadoreetako eta azpiegituren kudeatzaileetako arduradunek ere.","En este congreso, que se celebrará los próximos 23 y 24 de febrero en el Palacio Euskalduna de Bilbao, está previsto que participen alrededor de 200 directivos y técnicos de ingenierías, empresas constructoras y de equipamiento, así como responsables de compañías operadoras y gestoras de infraestructuras.","Se prevé que en este congreso, que se celebrará los próximos 23 y 24 de febrero en el Palacio Euskalduna de Bilbao, participarán cerca de 200 miembros de los equipos directivos de empresas de ingeniería, construcción y equipamiento, así como responsables de operadores de compañías e gestores de infraestructuras."
Ingeniaritza Gradu Duala,Grado de Ingeniería Dual,Grado en Ingeniería Dual
"(Beste leiho bat zabalduko du)Industria Elektronikakoeta Automatikako Ingeniaritzako Gradua (pdf,144.10 Kb) (Beste leiho bat zabalduko du)Ingeniaritza Mekanikoko Gradua (pdf,153.90 Kb)","(Abre una nueva ventana)Economía de la Empresa (pdf,301,33 Kb) (Abre una nueva ventana)Física (pdf,282,51 Kb)","(Se abre otra ventana) Grado en Ingeniería Electrónica Industrial y Automática (pdf, 144.10 Kb) (Ingeniería Mecánica) (pdf, 153.90 Kb)"
Titulazioa Ingeniaritza Mekanikoko eta Industria Elektronikaren eta Automatikaren Ingeniaritzako Gradu Bikoitza,Titulación Grado en Ingeniería Electrónica Industrial y enseñanza,Titulación Doble Grado en Ingeniería Mecánica y Electrónica Industrial y Automática
Ingeniaritza eta legalizazioa.,Ingeniería y legalización.,Ingeniería y legalización.
"7,5 I Ehunen ingeniaritza eta medikuntza erregeneratiboa","7,5 I Ingeniería tisular y medicina regenerativa","7,5 I Ingeniería de Tejidos y Medicina Reinsertiva"
Polimeroen Ingeniaritza Eskola,Escuela de Ingeniería de Polímeros,Escuela de Ingeniería de Polímeros
Telekomunikazio Sistemen Ingeniaritza,Ingeniería en Sistemas de Telecomunicación,Ingeniería de Sistemas de Telecomunicación
Arau akademikoak Industria Elektronikako eta Automatikako Ingeniaritza + Informatikako Ingeniaritza,Normas académicas Ingeniería Electrónica Industrial y Automática + Ingeniería Informática,Normas académicas Ingeniería en Electrónica Industrial y Automática + Ingeniería Informática
"Horrez gain, telekomunikazio ingeniaritzaren alor klasiko batzuetan sakontzeko aukera ere izango du, eta honako espezialitateetako bat aukeratuko du: Ingeniaritza Telematikoa, Telekomunikazio Sistemak eta Sistema Elektronikoak.","Además, el master ofrece la oportunidad de profundizar en alguna de las áreas clásicas de la ingeniería a través de las siguientes especialidades: Ingeniería Telemática, Sistemas de Telecomunicación y Sistemas Electrónicos.","Además, podrá profundizar en algunos de los campos clásicos de la ingeniería de telecomunicaciones y elegir una de las especialidades de Ingeniería Telemática, Sistemas de Telecomunicaciones y Sistemas Electrónicos."
"Horrela, ergonomikoki hobeak diren lanpostuak sor daitezke. Bestalde, JATORMAN ingeniaritza-enpresan egin da bigarren erakustaldia, tamaina handiko piezak garraiatzeko lanetan.","Asimismo, un segundo demostrador en la empresa de ingeniería JATORMAN, se orienta a tareas de transporte de piezas de gran tamaño y, por último, un tercer demostrador destinado a la industria de los electrodomésticos, valida la solución en el montaje de uno de los componentes de frigorífico de Electrolux.","Por otro lado, la segunda muestra se ha realizado en la empresa de ingeniería JATORMAN, dedicada al transporte de piezas de gran tamaño."
"Aldamio polimerikoak eraikitzeko erabiltzen da teknika hori, batez ere. Horregatik, ehunen ingeniaritzako garapen batzuetan soilik aplikatu daiteke.","Esta técnica se aplica sobre todo a la construcción de scaffolds de naturaleza polimérica, por lo que solo se puede aplicar en algunos desarrollos de ingeniería de tejidos.","Esta técnica se utiliza principalmente para la construcción de andamios poliméricos, por lo que sólo se puede aplicar en algunos desarrollos de ingeniería textil."
"Gurasoek erabaki zuten Alemaniara bidali behar zutela ingeniaritza kimikoa ikas zezan, diziplina hori hemen ikasterik ez zegoelako.","Sus padres decidieron enviarle a estudiar Ingeniería Química a Alemania, ya que esta disciplina no se impartía aquí.","Mis padres decidieron enviarlo a Alemania para que estudiara ingeniería química, porque no podía estudiar esa disciplina aquí."
Prozesuen berringeniaritza,Reingeniería de procesos,Reingeniería de procesos
El presupuesto máximo Aholkularitza edo/eta Ingeniaritzako gastuak: proiekturako onartu den aurrekontuaren % 100 gehienez.,– Consultoría y/o Ingeniería: máximo el 100% del presupuesto global aceptado del proyecto.,Gastos de Asesoramiento y/o Ingeniería El presupuesto masximo: hasta el 100% del presupuesto aprobado para el proyecto.
"“ULMA Handling Systems enpresan badakigu ingeniaritza-enpresa baten proiektua eraginkorra izateko, aldez aurretik bezeroaren beharrak ezagutu behar ditugula.",“En ULMA Handling Systems entendemos que el mejor seguro para que el proyecto de una ingeniería sea eficiente necesita de una buena comprensión previa de las necesidades del cliente.,"En la empresa HANDling Systems sabemos que para que el proyecto de una empresa de ingeniería sea efectivo, tenemos que conocer previamente las necesidades del cliente."
